Size,Iteration,Type,Meat Time (s),Total Time (s),Meat Proportion (%)
64,1,int,0.089035,0.089766,99.19
64,2,int,0.090449,0.091148,99.23
64,3,int,0.088627,0.089314,99.23
64,1,double,0.085125,0.086564,98.34
64,2,double,0.085484,0.086861,98.41
64,3,double,0.086545,0.087934,98.42
128,1,int,0.713654,0.716563,99.59
128,2,int,0.712264,0.715077,99.61
128,3,int,0.706546,0.708728,99.69
128,1,double,0.688139,0.693169,99.27
128,2,double,0.677625,0.683768,99.10
128,3,double,0.674846,0.679815,99.27
256,1,int,5.677347,5.685104,99.86
256,2,int,5.567229,5.574920,99.86
256,3,int,5.624307,5.632131,99.86
256,1,double,5.552380,5.570984,99.67
256,2,double,5.458349,5.477552,99.65
256,3,double,5.527812,5.545929,99.67
512,1,int,45.161192,45.191466,99.93
512,2,int,45.760794,45.791416,99.93
512,3,int,44.721293,44.750961,99.93
512,1,double,43.081019,43.153235,99.83
512,2,double,43.795557,43.868667,99.83
512,3,double,43.726042,43.804641,99.82
1024,1,int,370.452917,370.574347,99.97
1024,2,int,362.927071,363.047627,99.97
1024,3,int,369.879709,369.994427,99.97
1024,1,double,350.066971,350.361029,99.92
1024,2,double,354.269516,354.553697,99.92
1024,3,double,350.022369,350.305671,99.92
